48046664,,,,FALSE,Elaine Stritch : shoot me,"Karasawa, Chiemi",,2014,"A ferocious, funny, and poignant portrait of the one-of-a-kind Broadway legend still belting out Sondheim numbers at age 87, the documentary tribute showcases the brash, uncompromising Tony and Emmy winner both on stage and off. The film captures her immeasurable charm, acerbic wit, and impressive accomplishments with candid footage and interviews with friends and collaborators, including Sondheim, Tina Fey, and Nathan Lane.",,moving image
48084479,,,,FALSE,Tangerine,"Baker, Sean",,2015,"It's Christmas Eve in Tinseltown and Sin-Dee is back on the block. Upon hearing that her pimp boyfriend hasn't been faithful during the 28 days she was locked up, the working girl and her best friend, Alexandra, embark on a mission to get to the bottom of the scandalous rumor. Their rip-roaring odyssey leads them through various subcultures of Los Angeles.",,moving image
48088165,,,,FALSE,Night will fall,"Singer, André",,2016,The story of the incredible efforts made by British cameramen to film and document the unbelievable atrocities the Allies encountered during the Liberation of the German Concentration camps in 1945 at the end of World War II.,,moving image
48052672,,,,FALSE,Expedition to the end of the world ,Virgil Films (Firm),,2015,"On a three-masted schooner packed with artists, scientists and ambitions worthy of Noah or Columbus, a crew sets sail for the end of the world: the rapidly melting massifs of Northeast Greenland. It is an epic journey, with the brave explorers on board encountering polar bear nightmares, Stone Age playgrounds and entirely new species. But in their meetings with these new and unknown parts of the world, the crew is also confronted with the existential questions of life.",,moving image
48088153,,,,FALSE,Propaganda ,"Martinov, Slavko.",,2012,"""Presented by an anonymous North Korean professor, this anti-Western propaganda film attacks the moral attenuation, political manipulation and hyper-consumerism that characterize the Western world. ... Toward the end of this propaganda piece, the role of North Korea in all of this becomes clear: the country would like to offer itself as headquarters for the mounting fight against consumer slavery and greed worldwide. Propaganda is the world's first propumentary. It was made by Slavko Martinov in Christchurch, New Zealand, with the help of friends who worked in secret for 9 years""--From Propagandafilm.net.",,moving image
48084368,,,,FALSE,Learning to drive ,"Coixet, Isabel",,2016,"A feel-good, coming of (middle) age comedy about a mismatched pair who helps each other overcome life's road blocks.",,moving image
48068712,,,,FALSE,The last five years,"LaGravenese, Richard",,2015,"Jamie Wellerstein is an up and coming Jewish novelist who falls in love with Cathy Hiatt, a Shiksa Goddess and struggling actress. Their story is told almost entirely through songs using an intercutting time line device; all of Cathy's songs begin at the end of their marriage and move backwards in time to the beginning of their love affair while Jamie's songs start at the beginning of their affair and move forward to the end of their marriage. They meet in the center at their wedding.",,moving image
48036475,,,,FALSE,Blue ruin,"Saulnier, Jeremy",,2014,"A strange outsider's life suddenly changes when he returns to his childhood home to implement an act of vengeance. Proving himself a novice assassin, he ends up in a ruthless fight to protect his estranged family.",,moving image
48039193,,,,FALSE,Silenced : Dogani,"Jung, Yu-mi",Inception Media Group,[2012],"In 2000, a principal and some faculty members had begun to sexually molest and abuse several hearing impaired students at their school for close to 4 consecutive years. Though we may not want to accept it, it is time to face this horrible inhumane truth.",,moving image
48084464,,,,FALSE,A brave heart : the Lizzie Velasquez story,"Bordo, Sara Hirsh",,2015,"""A documentary following the life of Lizzie Velasquez, her triumphant journey to the other side of bullying, and her mission to inspire and empower a more positive online environment.""--IMDb",,moving image
